"transcript_id","original_text","guess_text","transcript_line_status_id"
447,"Hello","Hello ",4
447,"my name is Marilyn asterisk even sense. And I'm going to have a conversation with","my name is Marilyn Astarita Stevenson and I'm going to have a conversation with ",4
447,"John self","John Silver ",4
447,"or for your village your story. A Greenwich Village. Oral History Project.","for ""Your Village, Your Story"" a Greenwich Village oral history project. ",4
447,"It said you were eleven two thousand and fifteen. And this is being recorded at the","It's February 11, 2015, and this is being recorded at the ",4
447,"Jefferson Market library.","Jefferson Market Library. ",4
447,"So John. Tell me a little bit about where you come from and how you","So John, tell me a little bit about where you come from and how you ",4
447,"ended up the writing. You know. In Greenwich","ended up arriving, you know, in Greenwich ",4
447,"Village. So if I go way back to the beginning.","Village. / Wow. Well, if I go way back to the beginning uh- ",4
447,"I grew up on Long Island and","I grew up on Long Island and ",4
447,"the first and Levittown. My father was a dentist he had a practice there. And","first in Levittown. My father was a dentist he had a practice there. And ",4
447,"then eventually we moved to the north shore.","then eventually we moved to uh- the north shore uh- Laurel Hollow, ",4
447,"So I said that area. And","Syosset that area. And ",4
447,"then you know what I schooled there. In calls from Harbor.","then, you know, I went to high school there, in Cold Spring Harbor ",4
447,"And then after that I went to Penn State where I majored in art. There.","and then after that I went to Penn State where I majored in Art- /Mhm/ and there ",4
447,"I met my future wife. You know we lived together","I met my- my [paper shuffling] future wife. You know we lived together ",4
447,"for a few","for a few years ",4
447,"years. And I did most a lot of stuff sure when I was at","and uh- I did mostly a lot of sculpture when I was at Penn ",4
447,"Penn State but I did pay. As well. And then we both went to graduate","State but I- I did paint, as well. And then we both went to graduate ",4
447,"school and. Pratt Institute. That was when I started really living in","school at uh- Pratt Institute and that was when I started really living in the ",4
447,"the city. So to speak and being on my own I come in once in a while but not very","city, so to speak. Being on Long Island I'd come in once in a while but not very ",4
447,"often but I really took to the city limits here.","often. But uh- I really took to the city when I moved here, ",4
447,"Especially Manhattan.","especially Manhattan, ",4
447,"You know. I was spending most of my time and having no I didn't","[paper shuffling] you know, I was spending most of my time in Manhattan even though I lived in ",4
447,"propose. My first","Brooklyn. But uh- my first ",4
447,"place in Manhattan after I got to this would perhaps was a loss that we rented","place in Manhattan after I got finished with Pratt was a loft that we rented ",4
