"transcript_id","original_text","guess_text","transcript_line_status_id"
536,"I kinda missed like OK.","back in the middle like this. /Okay./ All right [clears throat]. /So, ",4
536,"I'm holy no more N and. I'm","I'm Halina Warren and I'm inter- ",4
536,"interviewing making Ambuhl and we're in her apartment in west","viewing Mae Gamble, and we're in her apartment in Westbeth, ",4
536,"bath. And I'm excited to hear your","and I'm excited to hear your story. ",4
536,"story. We live.","All right. /Uh huh./ Uh, we live- both ",4
536,"Both Elaine and I live in this building called web space which is artists' housing.","Halina and I live in this building called Westbeth which is artists' housing ",4
536,"The kids in the West","located in the West ",4
536,"Village which opened as artists housing nine hundred seventy.","Village, which opened as artists' housing in 1970 and ",4
536,"And both my husband and I and three children moved in at that","both my husband and I and our three children moved in at that time. ",4
536,"time. We had been","Ah- we had been living ",4
536,"living in a lot and I did an artist in residence.","in a loft, an art- artist in residence down  ",4
536,"Done a full stream in the beautiful of. Twenty two thousand five hundred square feet.","on Fulton Street in a beautiful loft - 20- 2,500 square feet - but ",4
536,"But the landlord dated the space. Because the World Trade Center was","uh- the landlord needed the space because the World Trade Center was",4
536,"going up and he could get much more rent. From a commercial","going up and he could get much more rent from a commercial place ",4
536,"place so that he asked us to","so he asked us to leave. ",4
536,"leave or. Fortunately we had a.","Fortunately, we had a application",4
536,"Application into it","into ",4
536,"with which seemed like.","Westbeth, which seemed like, you know, ",4
536,"You know an experiment obviously devil bunch of artists living together and we wondered what it","the experiment obviously to have a whole bunch of artists living together and we wondered what it would ",4
536,"would be like.","be like, but  ",4
536,"But we. I had put in the","We- I had put in the",4
536,"application because living in the last night children had very few. Neighborhood.","application because living in the loft my children had very few neighbor's children ",4
536,"Children. To play with and.","to play with, and ",4
536,"I had to take them everywhere. To play with their friends or whatever.","I had to take them everywhere to play with their friends, or whatever ",4
536,"And I was anxious for them to us to get into a neighborhood where there were more children.","and I was anxious for them- us to get into a neighborhood where there were more children. ",4
536,"And there were elevators.","And there were elevators [laughs], because ",4
536,"Because we lived in the which was","we lived in a fifth floor walk-up, which was difficult. ",4
536,"different and so at that time. We came in to the","And so at that time we came into Westbeth ",4
536,"west person nine hundred sixteen and.","in 1969, just in ",4
536,"Just in December. The official. Opening less than two hundred seventy.","December. The official opening was 1970 and we were ",4
536,"And we were very excited I mean the first thing I learned looking at my next","very excited. I mean, the first thing I learned looking at my next door ",4
536,"door neighbor's apartment that. Gil Evans. The","neighbor's apartment that Gil Evans, the",4
536,"famous. Arranger and jazz composer and everything. Was our next","famous arranger and jazz composer and everything, was our next",4
536,"door neighbor enters like. And then to discover there were other.","door neighbor, I mean it was like- and then to discover there were other ",4
536,"Really famous people in the building two like Diana","really famous people in the building too, like Diane Arbus,  ",4
536,"was because there","Muriel Rukeyser, and ",4
536,"are too many to mention busy.","too many to mention, really. ",4
536,"Anyway. And that's the time. We had three children.","Anyway, and at the time we had three children.",4
536,"The apartments were open Ross. Big","The uh- apartments were open raw space.  ",4
536,"as yet a","We had a bathroom ",4
536,"bason and the kitchen.","and a kitchen, and of ",4
536,"And of course there are floors recovery and everything.","course the- are floors were covered and everything, ",4
536,"And then he had a plot built in concerts but otherwise.","and then we had cl- built-in closets, but otherwise no ",4
536,"No rooms or anything.","rooms or anything. So- ",4
536,"Sell. But. We were used to that we were the little have to and had to build that.","but we were used to that, we lived in a loft [laughs] and had to build that so ",4
536,"We","we built ",4
536,"built an apartment. We rented a duplex above.","an apartment [tsk] we were in a duplex apartment ",4
536,"Which","which we ",4
536,"we eventually had to","we da- da- eventually had to ",4
