"transcript_id","original_text","guess_text","transcript_line_status_id"
478,"Thank","Thank ",2
478,"you","you",1
478,"very","very",1
478,"much for being here.","much for being here. [Laughter] Um, so I think the first thing I'd like to do, as I was mentioning before, is just ask",2
478,"So","the first thing I'd like to do, as I was mentioning before, is just ask you about some of your earliest experiences in Harlem when, either if you grew up here",2
478,"you","first moved here,",4
478,"hear it all my earliest","and of what was that experience like for you? -- Mmm hmm. Well my earliest",4
478,"experiences here or not as an adult.","experiences were or not as an adult. My grandmother,",4
478,"My grandmother who's dead. Lived in New York City.","who's dead, uh, lived in New York City for",2
478,"For all my time growing up I grew up","all my time growing up. I grew up in",2
478,"in Pittsburgh. So we would come to New York City to visit","Pittsburgh. And so we would come to New York City to visit her.",2
478,"her. And she lived in the projects. On Dykeman street.","And she lived in the projects on Dyckman Street. And",2
478,"And then my aunt my mother's","then my aunt, my mother's sister,",2
478,"sister lived on one","lived on, um,",2
478,"hundred fifty second Street I think it was. But anyways. In in Harlem.","152nd Street, I think it was. But anyways, in, in Harlem. Uh,",2
478,"More in Spanish Harlem.","more in Spanish Harlem than, than",2
478,"Then the Harlem. Central","the Harlem, Central Harlem.",2
478,"Harlem. And so we would come visit them.","And so when we would come visit them",2
478,"We were in Harlem. And my grandmother was in the Bronx. But we would come here","we were in Harlem. And my grandmother was in the Bronx. But we would come here",2
478,"to visit people. So I","to visit people. So I remember",2
478,"remember this being very","this being very like",2
478,"like the neighborhood I grew up in. Except that it was. Denser.","the neighborhood I grew up in except that it was denser.",2
478,"I grew up in Pittsburgh in the Hill District. So this was like the Hill District which was an all","I grew up in Pittsburgh in the Hill District. So this was like the Hill District, which was an all-black",2
478,"black neighborhood and so it was like","neighborhood and so it was like that.",2
478,"that so that my early remember","So that's my early rememberance.",2
478,"and I guess my nephew. Next remember inch","I guess my neph-next rememberance was",2
478,"was as. The promise is of","as, um, that's prominent, is as a",2
478,"a teenager. My sister lived up here with my","teenager. Um, my sister lived up here with my grandmother,",2
